"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2015","M","2013-10",96.25526,
"AUS","SHPRICE","TOT","IDX2015","M","2013-11",97.72205,
"AUS","SHPRICE","TOT","IDX2015","M","2013-12",95.01513,
"AUS","SHPRICE","TOT","IDX2015","M","2014-01",96.18234,
"AUS","SHPRICE","TOT","IDX2015","M","2014-02",96.73953,
"AUS","SHPRICE","TOT","IDX2015","M","2014-03",97.89485,
"AUS","SHPRICE","TOT","IDX2015","M","2014-04",99.24743,
"AUS","SHPRICE","TOT","IDX2015","M","2014-05",99.6807,
"AUS","SHPRICE","TOT","IDX2015","M","2014-06",99.04755,
"AUS","SHPRICE","TOT","IDX2015","M","2014-07",100.6367,
"AUS","SHPRICE","TOT","IDX2015","M","2014-08",101.4328,
"AUS","SHPRICE","TOT","IDX2015","M","2014-09",99.80123,
"AUS","SHPRICE","TOT","IDX2015","M","2014-10",97.03217,
"AUS","SHPRICE","TOT","IDX2015","M","2014-11",98.87231,
"AUS","SHPRICE","TOT","IDX2015","M","2014-12",96.76395,
"AUS","SHPRICE","TOT","IDX2015","M","2015-01",98.78583,
"AUS","SHPRICE","TOT","IDX2015","M","2015-02",106.3397,
"AUS","SHPRICE","TOT","IDX2015","M","2015-03",107.2095,
"AUS","SHPRICE","TOT","IDX2015","M","2015-04",107.4749,
"AUS","SHPRICE","TOT","IDX2015","M","2015-05",103.8753,
"AUS","SHPRICE","TOT","IDX2015","M","2015-06",101.2482,
"AUS","SHPRICE","TOT","IDX2015","M","2015-07",101.7224,
"AUS","SHPRICE","TOT","IDX2015","M","2015-08",97.80973,
"AUS","SHPRICE","TOT","IDX2015","M","2015-09",92.4131,
"AUS","SHPRICE","TOT","IDX2015","M","2015-10",95.34311,
"AUS","SHPRICE","TOT","IDX2015","M","2015-11",94.15915,
"AUS","SHPRICE","TOT","IDX2015","M","2015-12",93.61902,
"AUS","SHPRICE","TOT","IDX2015","M","2016-01",90.90173,
"AUS","SHPRICE","TOT","IDX2015","M","2016-02",89.40309,
"AUS","SHPRICE","TOT","IDX2015","M","2016-03",92.95984,
"AUS","SHPRICE","TOT","IDX2015","M","2016-04",92.92297,
"AUS","SHPRICE","TOT","IDX2015","M","2016-05",97.25519,
"AUS","SHPRICE","TOT","IDX2015","M","2016-06",95.5705,
"AUS","SHPRICE","TOT","IDX2015","M","2016-07",98.37916,
"AUS","SHPRICE","TOT","IDX2015","M","2016-08",100.4943,
"AUS","SHPRICE","TOT","IDX2015","M","2016-09",97.55026,
"AUS","SHPRICE","TOT","IDX2015","M","2016-10",98.73435,
"AUS","SHPRICE","TOT","IDX2015","M","2016-11",97.31811,
"AUS","SHPRICE","TOT","IDX2015","M","2016-12",101.3498,
"AUS","SHPRICE","TOT","IDX2015","M","2017-01",103.9004,
"AUS","SHPRICE","TOT","IDX2015","M","2017-02",104.2281,
"AUS","SHPRICE","TOT","IDX2015","M","2017-03",105.1043,
"AUS","SHPRICE","TOT","IDX2015","M","2017-04",107.0456,
"AUS","SHPRICE","TOT","IDX2015","M","2017-05",105.8738,
"AUS","SHPRICE","TOT","IDX2015","M","2017-06",104.4181,
"AUS","SHPRICE","TOT","IDX2015","M","2017-07",104.3709,
"AUS","SHPRICE","TOT","IDX2015","M","2017-08",104.4717,
"AUS","SHPRICE","TOT","IDX2015","M","2017-09",103.7574,
"AUS","SHPRICE","TOT","IDX2015","M","2017-10",105.9961,
"AUS","SHPRICE","TOT","IDX2015","M","2017-11",108.8582,
"AUS","SHPRICE","TOT","IDX2015","M","2017-12",109.7494,
"AUS","SHPRICE","TOT","IDX2015","M","2018-01",110.3326,
"AUS","SHPRICE","TOT","IDX2015","M","2018-02",108.2396,
"AUS","SHPRICE","TOT","IDX2015","M","2018-03",107.4866,
"AUS","SHPRICE","TOT","IDX2015","M","2018-04",106.5189,
"AUS","SHPRICE","TOT","IDX2015","M","2018-05",110.4375,
"AUS","SHPRICE","TOT","IDX2015","M","2018-06",111.1684,
"AUS","SHPRICE","TOT","IDX2015","M","2018-07",113.7427,
"AUS","SHPRICE","TOT","IDX2015","M","2018-08",114.5102,
"AUS","SHPRICE","TOT","IDX2015","M","2018-09",112.6868,
"AUS","SHPRICE","TOT","IDX2015","M","2018-10",108.1136,
"AUS","SHPRICE","TOT","IDX2015","M","2018-11",105.1629,
"AUS","SHPRICE","TOT","IDX2015","M","2018-12",102.0617,
"AUS","SHPRICE","TOT","IDX2015","M","2019-01",105.4888,
"AUS","SHPRICE","TOT","IDX2015","M","2019-02",110.6188,
"AUS","SHPRICE","TOT","IDX2015","M","2019-03",112.5764,
"AUS","SHPRICE","TOT","IDX2015","M","2019-04",114.2022,
"AUS","SHPRICE","TOT","IDX2015","M","2019-05",116.0654,
"AUS","SHPRICE","TOT","IDX2015","M","2019-06",119.0778,
"AUS","SHPRICE","TOT","IDX2015","M","2019-07",122.3036,
"AUS","SHPRICE","TOT","IDX2015","M","2019-08",119.1399,
"AUS","SHPRICE","TOT","IDX2015","M","2019-09",121.3623,
"AUS","SHPRICE","TOT","IDX2015","M","2019-10",121.0252,
"AUS","SHPRICE","TOT","IDX2015","M","2019-11",122.8383,
"AUS","SHPRICE","TOT","IDX2015","M","2019-12",123.2157,
"AUS","SHPRICE","TOT","IDX2015","M","2020-01",126.5437,
"AUS","SHPRICE","TOT","IDX2015","M","2020-02",127.1267,
"AUS","SHPRICE","TOT","IDX2015","M","2020-03",98.79449,
"AUS","SHPRICE","TOT","IDX2015","M","2020-04",96.87128,
"AUS","SHPRICE","TOT","IDX2015","M","2020-05",100.1817,
"AUS","SHPRICE","TOT","IDX2015","M","2020-06",108.0161,
"AUS","SHPRICE","TOT","IDX2015","M","2020-07",109.4515,
"AUS","SHPRICE","TOT","IDX2015","M","2020-08",110.8687,
"AUS","SHPRICE","TOT","IDX2015","M","2020-09",107.7882,
"AUS","SHPRICE","TOT","IDX2015","M","2020-10",110.7327,
"AUS","SHPRICE","TOT","IDX2015","M","2020-11",116.6687,
"AUS","SHPRICE","TOT","IDX2015","M","2020-12",121.2146,
"AUS","SHPRICE","TOT","IDX2015","M","2021-01",122.2562,
"AUS","SHPRICE","TOT","IDX2015","M","2021-02",124.106,
"AUS","SHPRICE","TOT","IDX2015","M","2021-03",123.1871,
"AUS","SHPRICE","TOT","IDX2015","M","2021-04",127.3157,
"AUS","SHPRICE","TOT","IDX2015","M","2021-05",128.6689,
"AUS","SHPRICE","TOT","IDX2015","M","2021-06",132.8794,
"AUS","SHPRICE","TOT","IDX2015","M","2021-07",133.6056,
"AUS","SHPRICE","TOT","IDX2015","M","2021-08",136.9542,
"AUS","SHPRICE","TOT","IDX2015","M","2021-09",134.6871,
"AUS","SHPRICE","TOT","IDX2015","M","2021-10",133.6132,
"AUS","SHPRICE","TOT","IDX2015","M","2021-11",134.4745,
"AUS","SHPRICE","TOT","IDX2015","M","2021-12",133.9538,
"AUS","SHPRICE","TOT","IDX2015","M","2022-01",132.732,
"AUS","SHPRICE","TOT","IDX2015","M","2022-02",130.412,
"AUS","SHPRICE","TOT","IDX2015","M","2022-03",131.7159,
"AUS","SHPRICE","TOT","IDX2015","M","2022-04",136.101,
"AUS","SHPRICE","TOT","IDX2015","M","2022-05",130.435,
"AUS","SHPRICE","TOT","IDX2015","M","2022-06",123.8231,
"AUS","SHPRICE","TOT","IDX2015","M","2022-07",122.0088,
"AUS","SHPRICE","TOT","IDX2015","M","2022-08",128.0332,
"AUS","SHPRICE","TOT","IDX2015","M","2022-09",122.6224,
"AUS","SHPRICE","TOT","IDX2015","M","2022-10",122.6354,
"AUS","SHPRICE","TOT","IDX2015","M","2022-11",129.3073,
"AUS","SHPRICE","TOT","IDX2015","M","2022-12",130.5719,
"AUS","SHPRICE","TOT","IDX2015","M","2023-01",132.9896,
"AUS","SHPRICE","TOT","IDX2015","M","2023-02",134.8266,
"AUS","SHPRICE","TOT","IDX2015","M","2023-03",129.4548,
"AUS","SHPRICE","TOT","IDX2015","M","2023-04",132.9606,
"AUS","SHPRICE","TOT","IDX2015","M","2023-05",131.6305,
"AUS","SHPRICE","TOT","IDX2015","M","2023-06",130.6312,
"AUS","SHPRICE","TOT","IDX2015","M","2023-07",132.3433,
"AUS","SHPRICE","TOT","IDX2015","M","2023-08",132.0602,
"AUS","SHPRICE","TOT","IDX2015","M","2023-09",130.4463,
"AUT","SHPRICE","TOT","IDX2015","M","2013-10",102.4663,
"AUT","SHPRICE","TOT","IDX2015","M","2013-11",106.0557,
"AUT","SHPRICE","TOT","IDX2015","M","2013-12",102.1647,
"AUT","SHPRICE","TOT","IDX2015","M","2014-01",106.8731,
"AUT","SHPRICE","TOT","IDX2015","M","2014-02",106.4755,
"AUT","SHPRICE","TOT","IDX2015","M","2014-03",101.4912,
"AUT","SHPRICE","TOT","IDX2015","M","2014-04",102.7168,
"AUT","SHPRICE","TOT","IDX2015","M","2014-05",101.6116,
"AUT","SHPRICE","TOT","IDX2015","M","2014-06",104.6542,
"AUT","SHPRICE","TOT","IDX2015","M","2014-07",100.4244,
"AUT","SHPRICE","TOT","IDX2015","M","2014-08",95.8248,
"AUT","SHPRICE","TOT","IDX2015","M","2014-09",96.09122,
"AUT","SHPRICE","TOT","IDX2015","M","2014-10",89.77686,
"AUT","SHPRICE","TOT","IDX2015","M","2014-11",92.74595,
"AUT","SHPRICE","TOT","IDX2015","M","2014-12",90.98325,
"AUT","SHPRICE","TOT","IDX2015","M","2015-01",90.84471,
"AUT","SHPRICE","TOT","IDX2015","M","2015-02",97.88908,
"AUT","SHPRICE","TOT","IDX2015","M","2015-03",102.8628,
"AUT","SHPRICE","TOT","IDX2015","M","2015-04",106.1377,
"AUT","SHPRICE","TOT","IDX2015","M","2015-05",106.839,
"AUT","SHPRICE","TOT","IDX2015","M","2015-06",102.4141,
"AUT","SHPRICE","TOT","IDX2015","M","2015-07",101.8813,
"AUT","SHPRICE","TOT","IDX2015","M","2015-08",99.75409,
"AUT","SHPRICE","TOT","IDX2015","M","2015-09",93.4621,
"AUT","SHPRICE","TOT","IDX2015","M","2015-10",97.59282,
"AUT","SHPRICE","TOT","IDX2015","M","2015-11",100.9743,
"AUT","SHPRICE","TOT","IDX2015","M","2015-12",99.34805,
"AUT","SHPRICE","TOT","IDX2015","M","2016-01",92.43689,
"AUT","SHPRICE","TOT","IDX2015","M","2016-02",88.49055,
"AUT","SHPRICE","TOT","IDX2015","M","2016-03",94.52463,
"AUT","SHPRICE","TOT","IDX2015","M","2016-04",96.412,
"AUT","SHPRICE","TOT","IDX2015","M","2016-05",95.16299,
"AUT","SHPRICE","TOT","IDX2015","M","2016-06",92.74168,
"AUT","SHPRICE","TOT","IDX2015","M","2016-07",92.78538,
"AUT","SHPRICE","TOT","IDX2015","M","2016-08",96.03474,
"AUT","SHPRICE","TOT","IDX2015","M","2016-09",99.47594,
"AUT","SHPRICE","TOT","IDX2015","M","2016-10",102.1711,
"AUT","SHPRICE","TOT","IDX2015","M","2016-11",104.1384,
"AUT","SHPRICE","TOT","IDX2015","M","2016-12",109.1143,
"AUT","SHPRICE","TOT","IDX2015","M","2017-01",113.2226,
"AUT","SHPRICE","TOT","IDX2015","M","2017-02",116.8844,
"AUT","SHPRICE","TOT","IDX2015","M","2017-03",119.3536,
"AUT","SHPRICE","TOT","IDX2015","M","2017-04",121.8314,
"AUT","SHPRICE","TOT","IDX2015","M","2017-05",129.9692,
"AUT","SHPRICE","TOT","IDX2015","M","2017-06",131.2843,
"AUT","SHPRICE","TOT","IDX2015","M","2017-07",132.7849,
"AUT","SHPRICE","TOT","IDX2015","M","2017-08",134.5987,
"AUT","SHPRICE","TOT","IDX2015","M","2017-09",136.5511,
"AUT","SHPRICE","TOT","IDX2015","M","2017-10",140.069,
"AUT","SHPRICE","TOT","IDX2015","M","2017-11",140.1266,
"AUT","SHPRICE","TOT","IDX2015","M","2017-12",140.6328,
"AUT","SHPRICE","TOT","IDX2015","M","2018-01",149.5997,
"AUT","SHPRICE","TOT","IDX2015","M","2018-02",142.9145,
"AUT","SHPRICE","TOT","IDX2015","M","2018-03",142.5894,
"AUT","SHPRICE","TOT","IDX2015","M","2018-04",142.7887,
"AUT","SHPRICE","TOT","IDX2015","M","2018-05",144.3979,
"AUT","SHPRICE","TOT","IDX2015","M","2018-06",139.6171,
"AUT","SHPRICE","TOT","IDX2015","M","2018-07",139.5745,
"AUT","SHPRICE","TOT","IDX2015","M","2018-08",140.0488,
"AUT","SHPRICE","TOT","IDX2015","M","2018-09",140.6242,
"AUT","SHPRICE","TOT","IDX2015","M","2018-10",136.5681,
"AUT","SHPRICE","TOT","IDX2015","M","2018-11",132.3085,
"AUT","SHPRICE","TOT","IDX2015","M","2018-12",122.1831,
"AUT","SHPRICE","TOT","IDX2015","M","2019-01",125.0595,
"AUT","SHPRICE","TOT","IDX2015","M","2019-02",128.7927,
"AUT","SHPRICE","TOT","IDX2015","M","2019-03",129.3554,
"AUT","SHPRICE","TOT","IDX2015","M","2019-04",135.8243,
"AUT","SHPRICE","TOT","IDX2015","M","2019-05",130.3124,
"AUT","SHPRICE","TOT","IDX2015","M","2019-06",127.0609,
"AUT","SHPRICE","TOT","IDX2015","M","2019-07",129.1358,
"AUT","SHPRICE","TOT","IDX2015","M","2019-08",125.928,
"AUT","SHPRICE","TOT","IDX2015","M","2019-09",129.2531,
"AUT","SHPRICE","TOT","IDX2015","M","2019-10",129.9895,
"AUT","SHPRICE","TOT","IDX2015","M","2019-11",135.1934,
"AUT","SHPRICE","TOT","IDX2015","M","2019-12",134.7074,
"AUT","SHPRICE","TOT","IDX2015","M","2020-01",134.4612,
"AUT","SHPRICE","TOT","IDX2015","M","2020-02",131.1671,
"AUT","SHPRICE","TOT","IDX2015","M","2020-03",95.53706,
"AUT","SHPRICE","TOT","IDX2015","M","2020-04",94.68448,
"AUT","SHPRICE","TOT","IDX2015","M","2020-05",98.01804,
"AUT","SHPRICE","TOT","IDX2015","M","2020-06",102.7498,
"AUT","SHPRICE","TOT","IDX2015","M","2020-07",100.9839,
"AUT","SHPRICE","TOT","IDX2015","M","2020-08",99.49938,
"AUT","SHPRICE","TOT","IDX2015","M","2020-09",98.06812,
"AUT","SHPRICE","TOT","IDX2015","M","2020-10",96.62834,
"AUT","SHPRICE","TOT","IDX2015","M","2020-11",105.6379,
"AUT","SHPRICE","TOT","IDX2015","M","2020-12",116.8908,
"AUT","SHPRICE","TOT","IDX2015","M","2021-01",127.03,
"AUT","SHPRICE","TOT","IDX2015","M","2021-02",129.4822,
"AUT","SHPRICE","TOT","IDX2015","M","2021-03",133.5383,
"AUT","SHPRICE","TOT","IDX2015","M","2021-04",137.231,
"AUT","SHPRICE","TOT","IDX2015","M","2021-05",144.3702,
