Date,Close/Last,Volume,Open,High,Low
10/30/2023,$410.08,5317147,$402.35,$412.82,$399.41
10/27/2023,$397.87,4997612,$406.42,$410.21,$395.62
10/26/2023,$403.54,6849702,$411.42,$417.31,$401.5444
10/25/2023,$411.25,6299587,$416.02,$418.84,$410.11
10/24/2023,$413.73,6459247,$409.68,$416.6899,$408.39
10/23/2023,$406.84,7390032,$403.32,$407.54,$398.5201
10/20/2023,$400.96,12782920,$405.63,$410.64,$398.01
10/19/2023,$401.77,28074420,$404.74,$408.95,$392.2601
10/18/2023,$346.19,11429640,$351.00,$354.79,$344.73
10/17/2023,$355.72,5908412,$361.10,$362.7049,$353.89
10/16/2023,$360.82,5128947,$356.21,$363.0799,$354.77
10/13/2023,$355.68,6316320,$355.64,$358.93,$352.05
10/12/2023,$361.20,7376086,$366.48,$368.83,$359.05
10/11/2023,$365.93,9151395,$372.775,$377.81,$365.34
10/10/2023,$373.32,7288939,$385.58,$388.70,$372.25
10/09/2023,$385.95,3299802,$378.05,$387.17,$377.755
10/06/2023,$381.51,4778118,$368.43,$382.52,$367.77
10/05/2023,$372.59,5034773,$378.01,$378.5999,$367.24
10/04/2023,$376.90,4303658,$376.50,$380.22,$373.58
10/03/2023,$376.75,8878134,$377.11,$394.90,$372.8492
10/02/2023,$380.33,3102101,$377.48,$384.808,$376.80
